[0:0 --> 0:00:01.36]	  Hi everyone, welcome back.
[0:06:50.28 --> 0:06:53.28]	  And we get now this series.
[0:06:54.20 --> 0:06:58.60]	  And if you remember from the introduction lecture
[0:06:58.60 --> 0:07:03.34]	  about Python, so this is serious and these are the values.
[0:07:05.36 --> 0:07:06.76]	  These are values.
[0:07:07.68 --> 0:07:10.84]	  And this is the index of the series.
[0:07:13.48 --> 0:07:16.48]	  So here we're actually not interested in values
[0:07:16.48 --> 0:07:18.50]	  because values are all objects.
[0:07:19.12 --> 0:07:20.42]	  What we're interested in,
[0:07:20.70 --> 0:07:22.24]	  in we want to get these names.
[0:07:23.74 --> 0:07:30.38]	  So for that, we need to use to get access to index.
[0:07:30.60 --> 0:07:31.58]	  And this is how we do it.
[0:07:32.20 --> 0:07:36.66]	  So when we do this, we get access to the index of that series.
[0:07:37.10 --> 0:07:41.46]	  And these are all the names of the columns that we need.
[0:07:41.64 --> 0:07:43.58]	  And we can just convert it to Python list.
[0:07:44.44 --> 0:07:47.18]	  Just because, not particular reason,
[0:07:47.30 --> 0:07:48.28]	  just because it looks nicer.
[0:07:48.86 --> 0:07:50.62]	  And let's call it strings.
[0:07:51.10 --> 0:07:56.10]	  So this is a Python list that contains all the string names.
[0:07:57.08 --> 0:07:59.78]	  And now since we have all these names,
[0:08:00.12 --> 0:08:03.64]	  what we can do is we can loop over them.
[0:08:04.02 --> 0:08:08.70]	  So let's say for call strings, so call is column,
[0:08:09.40 --> 0:08:10.62]	  and df call.
[0:08:11.54 --> 0:08:13.16]	  So basically what we want to do
[0:08:13.16 --> 0:08:17.90]	  is we want to do the same thing we did it here with columns.
[0:08:18.18 --> 0:08:19.64]	  Let's say for make.
[0:08:21.28 --> 0:08:24.36]	  What we want to do is do the same thing.
[0:08:26.18 --> 0:08:29.48]	  And then write it back to make.
[0:08:29.88 --> 0:08:32.58]	  And we don't do this just for make,
[0:08:32.96 --> 0:0]	  we do it for everything.
[0:08:34.50 --> 0:08:36.62]	  So, and this is how we can do this.
[0:08:37.36 --> 0:08:42.34]	  So for column, one of those lower case,
[0:08:42.48 --> 0:08:44.48]	  replace spaces with underscores
[0:08:44.48 --> 0:0]	  and write it back to the data frame.
[0:08:48.48 --> 0:0]	  Now we can see that it's cleaner.
[0:08:54.56 --> 0:08:55.78]	  Now everything is lower case.
[0:08:56.88 --> 0:09:00.18]	  Spices are replaced with underscores.
[0:09:00.56 --> 0:09:02.62]	  So the data now looks a bit cleaner.
[0:09:04.84 --> 0:09:08.56]	  And let's also take a look at what we actually have.
[0:09:11.52 --> 0:09:14.94]	  I think, yeah, this is something we will actually do
[0:09:15.24 --> 0:09:18.80]	  in the next lesson.
[0:09:18.98 --> 0:09:21.86]	  So in the next lesson, we will take a look at the data
[0:09:21.86 --> 0:09:23.80]	  and try to understand what is there.
[0:09:24.50 --> 0:09:24.96]	  See you soon.
