[0:0 --> 0:00:04.08]	  Welcome back. This is lesson six of machine learning zoom comp session three.
[0:06:36.84 --> 0:06:40.54]	  Yeah, we see that now it sorts everything.
[0:06:41.18 --> 0:0]	  And now we see that maybe let's sort it using this ascending false.
[0:06:49.52 --> 0:06:50.44]	  We need ascending false.
[0:06:50.44 --> 0:06:53.38]	  We want the most important ones to come first.
[0:06:53.70 --> 0:06:55.48]	  The least important ones to come fast.
[0:06:55.96 --> 0:07:03.70]	  So what we can see here is that the contract is the most important variable and gender is the least important one.
[0:07:04.18 --> 0:07:08.74]	  And then variables like online security tech support internet service, they're quite important.
[0:07:09.08 --> 0:07:10.84]	  So they're relatively important.
[0:07:11.14 --> 0:07:17.72]	  And it goes all the way down to not important ones like gender foreign service multiple lines.
[0:07:18.26 --> 0:07:22.98]	  Seniority we see that there is a jump from multiple lines to senior center citizen.
[0:07:23.20 --> 0:07:33.96]	  It's like one order of magnitude jump and we see that partner seems quite important, but in relative terms, it's not one of the most important ones.
[0:07:34.76 --> 0:07:34.76]	 
[0:07:35.36 --> 0:07:46.94]	  So now we actually understand which variables are very useful for us, which are less useful by looking at this mutual information score and actually variables like that.
[0:07:48.04 --> 0:07:50.50]	  Variables like that, they're very important.
[0:07:51.42 --> 0:07:55.82]	  So they have very high score and we're really interested in these variables.
[0:07:56.32 --> 0:08:00.90]	  So these variables is why machine learning actually works.
[0:08:01.22 --> 0:08:12.78]	  So by learning that a customer has a month to month contract or it has no online security and let's say they don't use tech support already can learn quite a lot about this customer.
[0:08:13.04 --> 0:08:24.54]	  And all these features, all these values that we learn, they are pretty good indicators that maybe this customer is not likely to stick around with us for for a long while.
[0:08:24.80 --> 0:08:31.56]	  These are actually the kind of signals that machine learning models pick when training and so it learns these kind of patterns.
[0:08:31.76 --> 0:08:40.04]	  And this is what allows the model to actually make predictions later when we don't know what the turn value is for these particular customers.
[0:08:40.04 --> 0:08:49.66]	  So here in this lesson we looked at the mutual information as a way to measure importance, relative importance of categorical variables, but we talked about categorical ones.
[0:08:50.08 --> 0:08:56.06]	  And in the next one, we will talk about measuring the importance of numerical variables.
